aluminium;ammonia;arsenic;barium;cadmium;chloramine;chromium;copper;flouride;bacteria;viruses;lead;nitrates;nitrites;mercury;perchlorate;radium;selenium;silver;uranium;is_safe
134;1227;2;137;4;413;1;173;8;0;0;174;1688;145;6;2873;687;5;13;7;1
282;1011;3;3;1;408;3;9;124;0;0;61;37;116;7;4379;56;6;21;3;1
275;382;3;169;4;612;89;81;143;0;0;37;441;126;3;1221;269;9;49;0;1
419;68;1;137;4;247;28;105;28;0;0;96;1841;142;7;2483;403;3;37;8;1
392;53;5;396;8;518;82;69;135;0;0;139;11;164;6;1271;103;4;23;7;1
328;2412;5;359;6;542;31;153;33;0;0;164;692;153;6;13;462;5;7;6;1
22;1853;3;214;1;179;88;56;149;0;0;5;1182;106;3;3027;191;8;29;6;1
496;538;2;37;2;639;1;29;114;0;0;174;912;11;6;2171;22;4;6;9;1
105;1867;2;236;1;497;13;55;101;0;0;198;1197;102;7;1112;102;3;26;6;1
56;2793;3;358;7;767;27;69;139;0;0;5;817;146;5;7;337;8;13;0;1
15;991;4;268;4;337;9;152;102;0;0;71;1771;171;3;2389;14;4;41;2;1
356;2175;4;129;7;449;8;165;3;0;0;67;556;164;1;70;273;3;19;0;1
371;652;2;42;4;38;47;158;43;0;0;187;888;177;1;3292;449;6;46;7;1
99;1451;5;201;4;41;36;26;141;0;0;5;785;116;3;101;63;3;19;4;1
112;2437;1;7;8;498;36;143;63;0;0;146;227;124;8;3735;168;7;37;7;1
455;1069;1;342;7;335;36;88;113;0;0;3;825;18;6;3844;208;9;24;3;1
75;1088;1;259;6;349;89;73;106;0;0;11;832;147;7;1851;77;2;36;8;1
276;925;2;2;9;19;7;133;71;0;0;14;764;155;6;3435;667;1;16;2;1
282;-1;47;155;11;579;54;195;56;0;94;6;1673;204;9;292;431;1;6;1;1
4;685;1;7;3;5;1;3;10;0;0;182;1592;10;0;135;484;0;4;5;1
5;883;0;97;8;9;1;3;5;0;0;54;1608;93;7;357;28;8;0;2;1
0;1812;8;37;1;2;1;2;104;0;0;2;1609;32;5;5;96;6;6;5;0
5;2412;9;3;9;0;5;6;69;0;74;46;1132;54;3;246;76;1;5;0;0
4;2834;4;8;3;38;5;2;53;0;7;3;698;97;9;278;234;1;6;9;0
3;1218;4;93;4;7;9;4;115;0;97;15;1311;95;7;5;79;1;2;7;0
6;1894;4;23;0;8;9;4;69;0;77;52;946;58;2;255;322;1;5;4;0
2;109;4;287;8;0;9;5;27;0;8;62;446;54;9;319;322;6;2;9;0
7;1002;4;69;7;54;0;7;73;6;1;157;1083;29;6;322;78;3;2;4;0
7;1691;8;164;5;5;4;145;14;28;3;102;855;164;2;1055;29;1;8;4;0
3;563;1;109;4;25;5;3;89;0;78;38;174;17;9;424;98;2;4;6;0
1;587;3;292;6;16;9;5;91;0;75;191;129;86;5;52;15;9;2;2;0
1;225;8;42;1;19;6;2;13;0;93;75;1222;5;8;546;326;5;1;5;0
2;869;4;18;3;44;8;5;142;0;8;107;1433;82;2;34;167;8;9;4;0
1;223;1;107;6;2;8;7;27;0;88;183;821;69;6;8;66;6;3;7;0
1;987;9;32;6;23;1;5;21;0;3;16;494;45;1;362;248;4;8;1;0
1;414;8;56;7;39;5;1;75;8;1;34;454;98;8;15;54;7;8;7;0
2;2343;1;48;5;4;2;5;52;0;8;25;1828;83;9;45;177;9;1;4;0
3;2252;3;45;5;18;6;6;146;0;84;136;1656;19;7;875;203;6;3;8;0
4;195;4;22;6;13;0;1;83;7;8;18;45;96;9;219;89;3;2;4;0
1;773;9;81;1;32;1;4;4;0;88;97;1177;96;1;955;408;5;6;3;0
9;137;2;187;7;27;2;8;105;0;97;7;579;88;6;56;17;1;5;8;0
3;1153;5;128;2;18;8;4;62;0;72;76;1559;0;4;74;6;6;1;2;0
8;2873;0;18;1;4;1;2;51;0;71;141;1204;97;6;11;25;5;6;3;0
1;2266;7;34;1;0;1;4;49;0;97;163;1738;99;2;27;12;1;0;6;0
8;1053;9;297;1;65;5;4;138;0;5;33;743;62;7;449;5;9;5;2;0
6;1757;3;19;1;54;9;7;48;0;1;95;1452;9;2;363;49;9;6;3;0
6;2906;0;88;4;17;3;0;146;0;76;83;407;17;9;327;81;7;9;6;0
1;1119;5;126;3;4;9;6;132;0;86;34;335;46;6;88;613;2;0;9;0
4;831;2;108;9;1;5;1;1;0;92;101;151;0;7;9;96;1;5;4;0
6;2114;2;48;9;2;2;1;117;0;4;135;1141;28;9;455;499;6;5;0;0
9;1832;5;53;6;1;4;0;108;0;4;8;1056;62;8;68;122;8;0;2;0
3;2757;7;61;1;34;4;8;142;0;97;196;559;26;3;957;75;1;4;1;0
8;2194;2;122;9;23;8;3;63;0;74;132;1104;62;9;255;587;1;5;5;0
3;135;5;79;2;1;2;4;131;0;76;88;949;37;1;876;111;1;8;6;0
4;1911;0;18;9;31;8;3;94;0;51;198;1067;74;8;33;88;8;4;3;0
7;1912;6;7;7;3;6;4;26;0;92;105;415;78;6;531;28;1;8;4;0
1;2311;4;25;3;27;5;7;63;0;74;152;786;44;5;88;461;7;1;2;0
6;672;6;66;9;2;8;7;18;0;8;4;622;72;7;22;13;4;0;6;0
9;617;7;43;0;2;1;5;15;9;0;165;1608;25;3;227;44;1;8;0;0
2;624;6;126;5;6;6;17;59;7;8;159;1842;162;8;204;74;1;8;9;0
7;2012;9;41;4;37;8;6;7;0;78;196;1017;4;5;10;44;7;3;3;0
1;2623;5;191;5;3;2;9;11;0;52;18;749;33;1;2;9;8;9;5;0
2;1505;5;79;5;3;5;7;26;0;51;122;325;97;8;21;95;6;6;4;0
5;118;2;172;4;1;8;8;91;0;7;41;1357;33;5;50;15;2;0;7;0
9;2532;4;76;8;11;3;1;55;0;5;16;315;16;8;18;25;2;6;6;0
8;2038;9;193;6;17;8;5;51;0;93;152;122;58;8;708;14;4;9;3;0
6;904;1;178;6;2;3;9;56;0;5;96;632;2;2;259;273;1;7;1;0
1;432;7;96;2;8;2;5;105;0;57;196;673;16;3;27;164;1;3;8;0
3;2633;4;94;7;3;8;7;148;0;99;162;16;16;3;154;251;2;7;4;0
8;1448;6;45;6;15;3;3;54;0;73;126;1121;75;7;177;225;2;6;6;0
1;2894;2;29;5;4;6;5;72;0;4;9;968;64;2;149;423;5;3;9;0
6;1098;3;181;6;6;7;1;3;0;6;61;1424;6;3;843;21;9;1;4;0
6;1537;7;63;2;2;3;3;11;0;10;165;802;76;3;533;159;9;1;0;0
7;283;2;256;3;1;2;2;34;0;65;13;148;3;3;128;79;1;1;2;0
7;1945;9;302;8;13;7;78;9;83;83;138;1055;171;9;247;359;9;5;5;0
